mineral,name,type,internationalCompanyName,officeCountry,year,oreOutputs,oreUnits,grossRevenues,netProfit,totalTax,CSR,CSRpercent,sourceName,sourceURL
Gold,ZMDC,Local Company,,Zimbabwe,2020,444.6,kg,5748228,,,,0,ZMDC Annual Report,https://zmdc.co.zw/assets/files/ZMDC-ANNUALREPORT2020.pdf
Platinum,Mimosa,International Company,Sibanye Still Water,South Africa,2017,,,255320400,198852200,,242700,0.00095057,,
Platinum,Mimosa,International Company,Sibanye Still Water,South Africa,2018,125000,ounces,270164400,235627920,15457860,222816,0.000824742,Implats 2018 Report,https://implats-ir.co.za/reports/implats-ir-2018/implats-air-2018/pdf/implats-iar-2018-new.pdf
Platinum,Mimosa,International Company,Sibanye Still Water,South Africa,2019,122000,ounces,291720000,291720000,13483000,3000000,0.010283834,Implats Annual Integrated Report 2019,https://www.implats.co.za/pdf/annual-reports/annual-integrated-report/2019/implats-air-2019.pdf
Platinum,Mimosa,International Company,Sibanye Still Water,South Africa,2020,248000,ounces,347335200,316675500,34747200,,0,Implats Annual Report 2020,http://www.implats.co.za/pdf/annual-reports/reports/2020/implats-air-2020.pdf
Platinum,Mimosa,International Company,Sibanye Still Water,South Africa,2021,261000,ounces,391561500,648121600,90701800,,0,Implats Annual Report 2021,https://www.implats.co.za/pdf/annual-reports/annual-integrated-report/2021/integrated-report-2021.pdf
Platinum,Mimosa,International Company,Sibanye Still Water,South Africa,2022,246000,ounces,231864600,127624309.4,,,0,Implats Annual Integrated Report 2022,https://www.implats.co.za/pdf/annual-reports/annual-integrated-report/2022/integrated-report-2022.pdf
Platinum,Unki mines (Pvt) Limited Management,International Company,Anglo-American,United Kingdom,2017,,,201069570.6,,17300000,400000,0.001989361,Anglo American Tax and Economic Contribution Report,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2018/tax-and-economic-contribution-report-2017.pdf
Platinum,Unki mines (Pvt) Limited Management,International Company,Anglo-American,United Kingdom,2018,,,159670122,56879454,,700000,0.004384039,"Anglo American Country by Country Report 2018
Anglo American Tax and Economic Contribution Report 2018","https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2019/anglo-american-country-by-country-report-2018-revised-july-2021.pdf
https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2019/tax-and-economic-contribution-report-2018-full.pdf"
Platinum,Unki mines (Pvt) Limited Management,International Company,Anglo-American,United Kingdom,2019,,,285026598,70852064,28100000,1100000,0.003859289,"Anglo American Country by Country Report 2019
Anglo American Tax and Economic Contribution Report 2019","https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2020/anglo-american-country-by-country-report-2019.pdf
https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2020/tax-and-economic-contribution-report.pdf"
Platinum,Unki mines (Pvt) Limited Management,International Company,Anglo-American,United Kingdom,2020,,,326692764,151601064,44500000,1100000,0.003367078,"Anglo American Country by Country Report 2020
Anglo American Tax and Economic Contribution Report 2020","https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2021/anglo-american-country-by-country-report-2020.pdf
https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2021/tax-and-economic-contribution-report-2020.pdf"
Platinum,Unki mines (Pvt) Limited Management,International Company,Anglo-American,United Kingdom,2021,3061.67,ounces,91411201.8,,127900000,900000,0.00984562,"Chamber of Mines
Anglo American Tax and Economic Contribution Report 2021",https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2022/tax-and-economic-contribution-report-2021.pdf
Platinum,Zimplats,International Company,Implats Pvt Ltd,South Africa,2017,281100,ounces,5000000,4383000,,,0,Zimplats 2017 Annual Report,https://www.zimplats.com/data/2017/10/AR2017.pdf
Platinum,Zimplats,International Company,Implats Pvt Ltd,South Africa,2018,270700,ounces,12150000,9038000,1823000,6000000,0.49382716,Zimplats 2018 Annual Report; Zimplats Social Investment Report 2018,https://www.zimplats.com/data/2018/09/ar2018.pdf; https://www.zimplats.com/social-investments-2018/
Platinum,Zimplats,International Company,Implats Pvt Ltd,South Africa,2019,269900,ounces,59627000,48922000,8944000,,0,Zimplats 2019 Annual Report,https://www.zimplats.com/data/2019/11/2019_Integrated_Report_.pdf
Platinum,Zimplats,International Company,Implats Pvt Ltd,South Africa,2020,580200,ounces,81000000,67049000,12150000,,0,Zimplats 2020 Annual Report,https://www.zimplats.com/data/2020/10/ZIMPLATS-INTEGRATED-ANNUAL-REPORT-2020.pdf
Platinum,Zimplats,International Company,Implats Pvt Ltd,South Africa,2021,579000,ounces,328500000,280222000,49275000,,0,"Chamber of Mines
Zimplats 2021 Annual Report",https://www.zimplats.com/data/2021/10/2021-INTEGRATED-ANNUAL-REPORT.pdf
Platinum,Zimplats,International Company,Implats Pvt Ltd,South Africa,2022,,,356400000,298966000,53460000,,0,,
